
2021-04-07 11:03:33,184 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 12:02:58,936 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:02:58,936 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:02:58,937 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:02:58,943 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:03,462 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:03,509 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:03,510 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:03,510 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:03,511 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:03,523 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:03,523 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:03,523 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:03,523 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:03,524 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:03,524 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:03,524 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:03,524 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:03,524 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:03,525 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:03,525 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:03,525 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:03,526 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:03,525 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:03,526 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:03,527 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:03,549 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:03,549 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:03,549 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:03,550 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:03,550 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:04,994 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 12:03:04,994 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 12:03:04,994 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:04,994 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:04,995 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:04,995 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:04,995 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:05,005 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 12:03:05,006 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 12:03:05,006 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 12:03:05,006 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:05,006 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:05,006 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 12:03:05,006 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:03:05,007 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 12:03:05,008 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 12:03:05,008 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:03:05,008 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 12:03:05,009 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 12:03:05,013 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:03:05,018 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:10,450 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:10,503 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:10,504 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:10,504 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:10,504 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:10,516 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:10,516 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:10,516 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:10,516 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:10,516 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:10,517 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:10,517 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:10,517 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:10,517 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:10,518 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:10,517 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:10,518 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:10,518 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:10,519 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:10,521 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:10,521 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:10,541 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:10,541 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:10,542 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:10,542 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:10,542 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:11,443 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 12:03:11,443 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 12:03:11,444 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:11,444 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:11,444 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:11,444 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:11,445 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:11,457 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 12:03:11,457 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 12:03:11,458 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 12:03:11,458 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 12:03:11,458 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:11,458 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:11,459 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 12:03:11,458 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:11,459 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:11,459 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 12:03:11,460 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 12:03:11,461 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 12:03:11,462 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:03:11,469 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:37,250 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:37,299 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:37,300 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:37,300 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:37,301 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:37,313 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:37,313 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:37,314 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:37,314 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:37,314 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:37,314 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:37,314 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:37,315 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:37,315 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:37,315 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:37,315 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:37,316 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:37,316 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:37,315 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:37,316 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:37,317 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:37,336 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:37,337 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:37,337 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:37,337 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:37,337 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:38,406 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 12:03:38,407 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 12:03:38,407 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:38,407 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:38,408 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:38,408 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:38,408 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:38,418 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 12:03:38,419 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 12:03:38,419 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 12:03:38,419 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:38,420 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:38,419 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 12:03:38,420 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:38,420 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:38,421 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 12:03:38,421 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 12:03:38,421 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:38,421 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:03:38,422 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 12:03:38,422 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 12:03:38,422 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 12:03:38,422 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:03:38,422 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 12:03:38,426 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:03:38,430 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:43,764 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:43,814 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:43,815 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:43,815 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:43,816 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:43,825 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:43,826 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:43,826 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:43,827 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:43,827 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:43,827 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:43,827 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:43,828 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:43,828 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:43,828 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:43,829 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:43,829 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:43,829 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:43,829 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:43,829 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:43,830 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:43,846 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:43,846 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:43,846 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:43,847 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:43,847 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:46,052 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 12:03:46,053 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 12:03:46,053 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:46,053 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:46,053 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:46,054 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:46,054 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:46,064 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 12:03:46,064 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 12:03:46,065 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 12:03:46,065 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 12:03:46,065 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 12:03:46,065 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:46,065 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:46,065 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:46,065 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:46,067 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 12:03:46,066 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:46,068 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 12:03:46,068 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 12:03:46,068 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:03:46,068 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:03:46,068 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:03:46,068 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 12:03:46,069 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 12:03:46,077 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:55,003 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:55,052 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:55,053 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:55,053 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:55,054 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:55,064 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:55,064 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:55,064 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:55,064 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:55,065 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:55,065 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:55,065 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:55,065 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:55,065 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:55,066 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:55,066 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:55,066 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:55,067 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:55,067 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:55,068 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:55,068 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:55,082 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:55,082 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:55,082 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:55,083 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:55,083 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:55,959 | E | g2cam:127 (main) | Keyboard interrupt!
2021-04-07 12:03:55,959 | I | g2cam:145 (main) | Stopping instrument SCEXAO ...
2021-04-07 12:03:55,960 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:55,960 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:55,961 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:55,961 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:55,961 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:55,971 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9081.
2021-04-07 12:03:55,972 | I | common_task.py:82 (execute) | Stopping periodic interval task
2021-04-07 12:03:55,972 | I | ro_XMLRPC.py:345 (worker) | worker 0 shutting down...
2021-04-07 12:03:55,972 | I | PubSub.py:1143 (update_remote_subscriptions_loop) | exiting remote subscriptions update loop
2021-04-07 12:03:55,972 | I | Instrument.py:292 (stop) | INSTRUMENT STOPPED.
2021-04-07 12:03:55,973 | I | ro_XMLRPC.py:345 (worker) | worker 2 shutting down...
2021-04-07 12:03:55,972 | I | ro_XMLRPC.py:345 (worker) | worker 1 shutting down...
2021-04-07 12:03:55,973 | I | ro_XMLRPC.py:345 (worker) | worker 3 shutting down...
2021-04-07 12:03:55,973 | I | ro_XMLRPC.py:345 (worker) | worker 4 shutting down...
2021-04-07 12:03:55,974 | I | ro_XMLRPC.py:345 (worker) | worker 6 shutting down...
2021-04-07 12:03:55,974 | I | ro_XMLRPC.py:345 (worker) | worker 7 shutting down...
2021-04-07 12:03:55,974 | I | ro_XMLRPC.py:345 (worker) | worker 5 shutting down...
2021-04-07 12:03:55,974 | I | ro_XMLRPC.py:345 (worker) | worker 8 shutting down...
2021-04-07 12:03:55,974 | I | PubSub.py:1102 (stop_server) | Stopping server...
2021-04-07 12:03:55,975 | I | ro_XMLRPC.py:345 (worker) | worker 9 shutting down...
2021-04-07 12:03:55,975 | I | ro_XMLRPC.py:345 (worker) | worker 11 shutting down...
2021-04-07 12:03:55,975 | I | ro_XMLRPC.py:345 (worker) | worker 10 shutting down...
2021-04-07 12:03:55,978 | I | PubSub.py:550 (stop) | PubSub background tasks stopped.
2021-04-07 12:03:55,982 | I | remoteObjects.py:491 (__cmd_loop) | Stopping remote object server on scexao2:9080.
2021-04-07 12:03:59,588 | I | SCEXAO.py:84 (initialize) | ***** INITIALIZE CALLED *****
2021-04-07 12:03:59,641 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 12:03:59,642 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 12:03:59,642 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 12:03:59,643 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 12:03:59,653 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 12:03:59,654 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:59,654 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:59,654 | I | SCEXAO.py:124 (start) | SCEXAO ocs interface started.
2021-04-07 12:03:59,655 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:59,655 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:59,655 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 12:03:59,655 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 12:03:59,656 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 12:03:59,656 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 12:03:59,655 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 12:03:59,656 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
2021-04-07 12:03:59,656 | I | ro_XMLRPC.py:319 (worker) | worker 10 spinning up...
2021-04-07 12:03:59,657 | I | ro_XMLRPC.py:319 (worker) | worker 11 spinning up...
2021-04-07 12:03:59,657 | I | common_task.py:56 (execute) | Starting periodic interval task
2021-04-07 12:03:59,658 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9081.
2021-04-07 12:03:59,680 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 12:03:59,680 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 12:03:59,680 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 12:03:59,681 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 12:03:59,680 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
